0.025	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1	647.789	799.500	864.163	899.583	921.848	937.111	948.217	956.656	963.285	968.627	973.025	976.708	979.837	982.528	984.867	986.919	988.733	990.349	991.797	993.103	994.286	995.362	996.346	997.249	998.081	998.849	999.561	1000.222	1000.839	1001.414	1001.953	1002.459	1002.934	1003.381	1003.803	1004.201	1004.579	1004.936	1005.276	1005.598	1005.905	1006.197	1006.476	1006.742	1006.997	1007.240	1007.473	1007.697	1007.911	1008.117	1008.315	1008.505	1008.688	1008.865	1009.035	1009.199	1009.357	1009.510	1009.657	1009.800	1009.938	1010.072	1010.201	1010.327	1010.448	1010.566	1010.680	1010.791	1010.899	1011.004	1011.106	1011.205	1011.301	1011.395	1011.486	1011.575	1011.661	1011.746	1011.828	1011.908	1011.986	1012.062	1012.137	1012.209	1012.280	1012.350	1012.417	1012.484	1012.548	1012.612	1012.673	1012.734	1012.793	1012.851	1012.908	1012.964	1013.018	1013.071	1013.124	1013.175
2	38.506	39.000	39.165	39.248	39.298	39.331	39.355	39.373	39.387	39.398	39.407	39.415	39.421	39.427	39.431	39.435	39.439	39.442	39.445	39.448	39.450	39.452	39.454	39.456	39.458	39.459	39.461	39.462	39.463	39.465	39.466	39.467	39.468	39.468	39.469	39.470	39.471	39.472	39.472	39.473	39.474	39.474	39.475	39.475	39.476	39.476	39.477	39.477	39.477	39.478	39.478	39.479	39.479	39.479	39.480	39.480	39.480	39.481	39.481	39.481	39.481	39.482	39.482	39.482	39.483	39.483	39.483	39.483	39.483	39.484	39.484	39.484	39.484	39.484	39.485	39.485	39.485	39.485	39.485	39.485	39.486	39.486	39.486	39.486	39.486	39.486	39.486	39.487	39.487	39.487	39.487	39.487	39.487	39.487	39.487	39.487	39.488	39.488	39.488	39.488
3	17.443	16.044	15.439	15.101	14.885	14.735	14.624	14.540	14.473	14.419	14.374	14.337	14.304	14.277	14.253	14.232	14.213	14.196	14.181	14.167	14.155	14.144	14.134	14.124	14.115	14.107	14.100	14.093	14.087	14.081	14.075	14.070	14.065	14.060	14.055	14.051	14.047	14.043	14.040	14.037	14.033	14.030	14.027	14.024	14.022	14.019	14.017	14.014	14.012	14.010	14.008	14.006	14.004	14.002	14.000	13.998	13.997	13.995	13.994	13.992	13.991	13.989	13.988	13.987	13.985	13.984	13.983	13.982	13.980	13.979	13.978	13.977	13.976	13.975	13.974	13.973	13.972	13.971	13.971	13.970	13.969	13.968	13.967	13.967	13.966	13.965	13.964	13.964	13.963	13.962	13.962	13.961	13.960	13.960	13.959	13.959	13.958	13.957	13.957	13.956
4	12.218	10.649	9.979	9.605	9.364	9.197	9.074	8.980	8.905	8.844	8.794	8.751	8.715	8.684	8.657	8.633	8.611	8.592	8.575	8.560	8.546	8.533	8.522	8.511	8.501	8.492	8.483	8.476	8.468	8.461	8.455	8.449	8.443	8.438	8.433	8.428	8.423	8.419	8.415	8.411	8.407	8.404	8.401	8.397	8.394	8.391	8.389	8.386	8.383	8.381	8.378	8.376	8.374	8.372	8.370	8.368	8.366	8.364	8.362	8.360	8.359	8.357	8.356	8.354	8.353	8.351	8.350	8.348	8.347	8.346	8.345	8.343	8.342	8.341	8.340	8.339	8.338	8.337	8.336	8.335	8.334	8.333	8.332	8.331	8.330	8.330	8.329	8.328	8.327	8.326	8.326	8.325	8.324	8.323	8.323	8.322	8.321	8.321	8.320	8.319
5	10.007	8.434	7.764	7.388	7.146	6.978	6.853	6.757	6.681	6.619	6.568	6.525	6.488	6.456	6.428	6.403	6.381	6.362	6.344	6.329	6.314	6.301	6.289	6.278	6.268	6.258	6.250	6.242	6.234	6.227	6.220	6.214	6.208	6.203	6.197	6.192	6.188	6.183	6.179	6.175	6.171	6.168	6.164	6.161	6.158	6.155	6.152	6.149	6.146	6.144	6.141	6.139	6.136	6.134	6.132	6.130	6.128	6.126	6.124	6.123	6.121	6.119	6.117	6.116	6.114	6.113	6.111	6.110	6.109	6.107	6.106	6.105	6.104	6.102	6.101	6.100	6.099	6.098	6.097	6.096	6.095	6.094	6.093	6.092	6.091	6.090	6.090	6.089	6.088	6.087	6.086	6.086	6.085	6.084	6.083	6.083	6.082	6.081	6.081	6.080
6	8.813	7.260	6.599	6.227	5.988	5.820	5.695	5.600	5.523	5.461	5.410	5.366	5.329	5.297	5.269	5.244	5.222	5.202	5.184	5.168	5.154	5.141	5.128	5.117	5.107	5.097	5.088	5.080	5.072	5.065	5.058	5.052	5.046	5.041	5.035	5.030	5.025	5.021	5.017	5.012	5.009	5.005	5.001	4.998	4.995	4.992	4.989	4.986	4.983	4.980	4.978	4.975	4.973	4.971	4.969	4.967	4.965	4.963	4.961	4.959	4.957	4.955	4.954	4.952	4.951	4.949	4.948	4.946	4.945	4.943	4.942	4.941	4.940	4.938	4.937	4.936	4.935	4.934	4.933	4.932	4.931	4.930	4.929	4.928	4.927	4.926	4.925	4.924	4.924	4.923	4.922	4.921	4.920	4.920	4.919	4.918	4.917	4.917	4.916	4.915
7	8.073	6.542	5.890	5.523	5.285	5.119	4.995	4.899	4.823	4.761	4.709	4.666	4.628	4.596	4.568	4.543	4.521	4.501	4.483	4.467	4.452	4.439	4.426	4.415	4.405	4.395	4.386	4.378	4.370	4.362	4.356	4.349	4.343	4.337	4.332	4.327	4.322	4.317	4.313	4.309	4.305	4.301	4.298	4.294	4.291	4.288	4.285	4.282	4.279	4.276	4.274	4.271	4.269	4.267	4.264	4.262	4.260	4.258	4.256	4.254	4.253	4.251	4.249	4.248	4.246	4.244	4.243	4.241	4.240	4.239	4.237	4.236	4.235	4.234	4.232	4.231	4.230	4.229	4.228	4.227	4.226	4.225	4.224	4.223	4.222	4.221	4.220	4.219	4.218	4.218	4.217	4.216	4.215	4.214	4.214	4.213	4.212	4.211	4.211	4.210
8	7.571	6.059	5.416	5.053	4.817	4.652	4.529	4.433	4.357	4.295	4.243	4.200	4.162	4.130	4.101	4.076	4.054	4.034	4.016	3.999	3.985	3.971	3.959	3.947	3.937	3.927	3.918	3.909	3.901	3.894	3.887	3.881	3.874	3.869	3.863	3.858	3.853	3.848	3.844	3.840	3.836	3.832	3.828	3.825	3.821	3.818	3.815	3.812	3.809	3.807	3.804	3.802	3.799	3.797	3.795	3.792	3.790	3.788	3.786	3.784	3.783	3.781	3.779	3.777	3.776	3.774	3.773	3.771	3.770	3.768	3.767	3.766	3.764	3.763	3.762	3.761	3.760	3.759	3.757	3.756	3.755	3.754	3.753	3.752	3.751	3.750	3.750	3.749	3.748	3.747	3.746	3.745	3.744	3.744	3.743	3.742	3.741	3.741	3.740	3.739
9	7.209	5.715	5.078	4.718	4.484	4.320	4.197	4.102	4.026	3.964	3.912	3.868	3.831	3.798	3.769	3.744	3.722	3.701	3.683	3.667	3.652	3.638	3.626	3.614	3.604	3.594	3.584	3.576	3.568	3.560	3.553	3.547	3.541	3.535	3.529	3.524	3.519	3.514	3.510	3.505	3.501	3.498	3.494	3.490	3.487	3.484	3.481	3.478	3.475	3.472	3.469	3.467	3.464	3.462	3.460	3.457	3.455	3.453	3.451	3.449	3.447	3.446	3.444	3.442	3.441	3.439	3.437	3.436	3.434	3.433	3.432	3.430	3.429	3.428	3.426	3.425	3.424	3.423	3.422	3.421	3.420	3.419	3.418	3.417	3.416	3.415	3.414	3.413	3.412	3.411	3.410	3.409	3.409	3.408	3.407	3.406	3.406	3.405	3.404	3.403
10	6.937	5.456	4.826	4.468	4.236	4.072	3.950	3.855	3.779	3.717	3.665	3.621	3.583	3.550	3.522	3.496	3.474	3.453	3.435	3.419	3.403	3.390	3.377	3.365	3.355	3.345	3.335	3.327	3.319	3.311	3.304	3.297	3.291	3.285	3.279	3.274	3.269	3.264	3.260	3.255	3.251	3.247	3.244	3.240	3.237	3.233	3.230	3.227	3.224	3.221	3.219	3.216	3.214	3.211	3.209	3.207	3.204	3.202	3.200	3.198	3.197	3.195	3.193	3.191	3.190	3.188	3.186	3.185	3.183	3.182	3.180	3.179	3.178	3.176	3.175	3.174	3.173	3.172	3.170	3.169	3.168	3.167	3.166	3.165	3.164	3.163	3.162	3.161	3.160	3.160	3.159	3.158	3.157	3.156	3.155	3.155	3.154	3.153	3.152	3.152
