"KOD";"NAZEV"
"22-CPK";"Centrum právní komparatistiky"
"22-CZP";"Centrum zdravotnického práva"
"22-KEP";"Katedra evropského práva"
"22-KFP";"Katedra finančního práva a finanční vědy"
"22-KJ";"Katedra jazyků"
"22-KMP";"Katedra mezinárodního práva"
"22-KNH";"Katedra národního hospodářství"
"22-KOP";"Katedra občanského práva"
"22-KOBCHP";"Katedra obchodního práva"
"22-KFS";"Katedra politologie a sociologie"
"22-KPP";"Katedra pracovního práva a práva sociálního zabezpečení"
"22-KPZP";"Katedra práva životního prostředí"
"22-KPD";"Katedra právních dějin"
"22-KSP";"Katedra správního práva a správní vědy"
"22-KTV";"Katedra tělesné výchovy"
"22-KTPPU";"Katedra teorie práva a právních učení"
"22-KTP";"Katedra trestního práva"
"22-KUP";"Katedra ústavního práva"
"22-ZO";"Oddělení pro zahraniční styky"
"22-SO";"Studijní oddělení"
"22-UPA";"Ústav práva autorského, práv průmyslových a práva soutěžního"
