"POVINN";"PNAZEV";"PGARANT";"POVINNY";"SEMESTR"
"HP1968";"American Judical System and Alternative Dispute Resolution";"22-KPZP";;
"HP1522";"Application du droit communautaire en France";"22-KEP";;
"HP0011";"Autorské právo a průmyslová práva v informační společnosti";"22-UPA";;
"HP0022";"Bankovní obchody";"22-KOBCHP";;
"HP1841";"Bankovní právo";"22-KFP";;
"HP0021";"Bytové právo";"22-KOP";;
"HP3080";"Central and Eastern European Moot Court Competition";"22-KEP";;
"HP0031";"Církevní právo";"22-KPD";;
"HP0891";"České a československé právní dějiny I";"22-KPD";"A";1
"HP0892";"České a československé právní dějiny II";"22-KPD";"A";2
"HP0890";"České a československé právní dějiny SZZ";"22-KPD";;
"HP1361";"Český jazyk pro cizince I";"22-KJ";;
"HP1362";"Český jazyk pro cizince II";"22-KJ";;
"HP1363";"Český jazyk pro cizince III";"22-KJ";;
"HP1364";"Český jazyk pro cizince IV";"22-KJ";;
"HP1365";"Čeština v odborné komunikaci";"22-KJ";;
"HP0527";"Daňové právo procesní";"22-KFP";;
"HP0051";"Daňové soustavy vybraných zemí EU a USA";"22-KFP";;
"HP1652";"Dějiny daní a poplatků";"22-KPD";;
"HP0071";"Dějiny práva a státu evropských zemí a USA";"22-KPD";"A";1
"HP1351";"Dějiny práva ve střední Evropě";"22-KPD";;
"HP0072";"Dějiny práva vybraných evropských zemí a USA";"22-KPD";;
"HP0061";"Dějiny právnického stavu a právnických profesí";"22-KPD";;
"HP1071";"Dějiny ruského práva";"22-KPD";;
"HP0041";"Der deutsche Zivilprozess I.";"22-KJ";;
"HP0871";"Diplomatické právo, protokol a společenská etiketa";"22-KMP";;
"HP0015";"Diplomový seminář I.  z předmětu mezinárodní právo veřejné";"22-KMP";;
"HP0003";"Diplomový seminář I.  z předmětu politologie";"22-KFS";;
"HP0002";"Diplomový seminář I.  z předmětu teorie práva";"22-KTPPU";;
"HP0006";"Diplomový seminář I.  z předmětu trestní právo";"22-KTP";;
"HP0040";"Diplomový seminář I. z církevní právo";"22-KPD";;
"HP0032";"Diplomový seminář I. z předmětu autorské právo a průmyslová práva v informační společnosti";"22-UPA";;
"HP0004";"Diplomový seminář I. z předmětu české a čs. právní dějiny";"22-KPD";;
"HP0019";"Diplomový seminář I. z předmětu dějiny práva a státu evropských zemí a USA";"22-KPD";;
"HP0016";"Diplomový seminář I. z předmětu evropské právo";"22-KEP";;
"HP0013";"Diplomový seminář I. z předmětu finanční právo";"22-KFP";;
"HP0030";"Diplomový seminář I. z předmětu mezinárodní právo soukromé a právo mezinárodního obchodu";"22-KOBCHP";;
"HP0007";"Diplomový seminář I. z předmětu obchodní právo";"22-KOBCHP";;
"HP0005";"Diplomový seminář I. z předmětu občanské právo hmotné";"22-KOP";;
"HP0018";"Diplomový seminář I. z předmětu občanské právo procesní";"22-KOP";;
"HP0020";"Diplomový seminář I. z předmětu pracovní právo";"22-KPP";;
"HP0017";"Diplomový seminář I. z předmětu právo sociálního zabezpečení";"22-KPP";;
"HP0014";"Diplomový seminář I. z předmětu právo životního prostředí";"22-KPZP";;
"HP0008";"Diplomový seminář I. z předmětu římské právo a základy novodobého práva soukromého";"22-KPD";;
"HP0012";"Diplomový seminář I. z předmětu správní právo";"22-KSP";;
"HP0010";"Diplomový seminář I. z předmětu teorie národního hospodářství";"22-KNH";;
"HP0009";"Diplomový seminář I. z předmětu ústavní právo a státověda";"22-KUP";;
"HP0033";"Diplomový seminář I. z předmětu základy práv duševního vlastnictví";"22-UPA";;
"HP0001";"Diplomový seminář I. z předmětu základy sociologie a psychologie pro právníky";"22-KFS";;
"HP0100";"Diplomový seminář II. pracovní právo a právo sociálního zabezpečení";"22-KPP";;
"HP3010";"Diskriminace a právo";"22-KFS";;
"HP1441";"Domácí násilí";"22-KTP";;
"HP1441";"Domácí násilí";"22-KTP";;
"HP8866";"Důsledky úpadku obchodní korporace na její správu";"22-KOBCHP";;
"HP1321";"Einführung in das deutsche Recht I.";"22-KEP";;
"HP1451";"Einführung in das deutsche Recht II.";"22-KEP";;
"HP1851";"Einfuhrung in das Schweizerische Verfassungs und Verwaltungsrecht";"22-KSP";;
"HP0092";"Ekonomická teorie správy akciových společností";"22-KNH";;
"HP0092";"Ekonomická teorie správy akciových společností";"22-KNH";;
"HP0091";"Ekonomika a řízení firmy";"22-KNH";;
"HP1461";"English and American Forms of Agreement I.";"22-KJ";;
"HP1471";"English and American Forms of Agreement II.";"22-KJ";;
"HP1282";"Environmentální politika a udržitelný rozvoj";"22-KPZP";;
"HP3033";"Equity and Trust";"22-KJ";;
"HP3011";"Equity and Trust: legal advisory skills";"22-KJ";;
"HP1376";"Espaňol: Curso de perfeccionamiento";"22-KJ";;
"HP1380";"Espanol práctico";"22-KJ";;
"HP1462";"Essentials of Legal Writing";"22-KJ";;
"HP1462";"Essentials of Legal Writing";"22-KJ";;
"HP1021";"Etika a základy spravedlnosti";"22-KFS";;
"HP0101";"Etika v podnikání";"22-KNH";;
"HP3079";"European Law moot Court Competition";"22-KEP";;
"HP1861";"Europeizace trestního práva";"22-KTP";;
"HP1742";"Evropská ochrana lidských práv";"22-KMP";;
"HP0491";"Evropské mezinárodní právo soukromé";"22-KOBCHP";;
"HP1322";"Evropské právo I";"22-KEP";"A";3
"HP1311";"Evropské právo I";"22-KEP";"A";3
"HP1323";"Evropské právo II";"22-KEP";"A";4
"HP1312";"Evropské právo II";"22-KEP";"A";4
"HP3070";"Evropské právo procesní";"22-KEP";;
"HP1431";"Evropské veřejné právo I";"22-KSP";;
"HP0111";"Fallrepetitorium Europarecht I.";"22-KJ";;
"HP1031";"Filozofické předpoklady lidských práv";"22-KFS";;
"HP0121";"Finanční hospodaření samosprávných územních celků";"22-KFP";;
"HP0131";"Finanční právo I";"22-KFP";"A";8
"HP0132";"Finanční právo II";"22-KFP";"A";9
"HP1661";"Francouzština pro pokročilé";"22-KJ";;
